S.NO,kiln 1 compressors,units,S.NO,kiln 2 compressors and coal mill 2 compressor ,units,S.No,kiln 3 compressors,units,S.no,coal mill 1 compressors ,units,S.No,coal mill 3 compressors,units,cement mill 1 +3 compressors ,S.No,units ,S.No,cement mill line 2,units,S.No,packing plant compressor line 3 ,units ,S.no,packing plant compressor line 1 and 2,units 
1,compressor 800.50,"1,15,259",1,Compressor 800.13,"7,022.46",1.00,Screw compressor B-09,"1,23,407.69",1.00,compressor 800.52,"36,638.22",1.00,compressor B-03,"36,707.50",compressor 800.08,1.00,"58,534.75",,compressor 800.10,"87,900.59",1.00,Compressor B-10 ,53542.5,1.00,compressor 644.02,5141.26
2,compressor 800.53,"20,032.75",2.00,compressor 800.09,0,2,Screw compressor B-12,1621,,,,,,,compressor 800.07,,119207.75,,,,2,Compressor B-11,1193,,,
3,compressor 800.51,"1,53,935",3,compressor 800.12,"31,552",3,Screw compressor B-13,0,,,,,,,,,,,,,,,,,,
,,,4,compressor 800.03,0,4,compressor B-01,0,,,,,,,,,,,,,,,,,,
,,,5,compressor 800.11,6429.51,5,compressor B-02,0,,,,,,,,,,,,,,,,,,
,,,6,compressor 800.10,"35,981",6,compressor B-04,0.00,,,,,,,,,,,,,,,,,,
,,,7,compressor 800.12,0,7,compressor B-05,213.25,,,,,,,,,,,,,,,,,,
,,,,,,8,compressor B-06,0,,,,,,,,,,,,,,,,,,
,,,,,,9,compressor B-08,0.72,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,"2,89,227",Total,,"84,984.97",Total,,"1,25,242.66",Total,,"36,638.22",,Total,"36,707.50",,Total ,"1,77,742.50",Total,,"87,900.59",Total,,"54,735.50",Total,,5141.26
